DateTime,value,IMF_1,IMF_2,IMF_3,IMF_4,IMF_5,IMF_6,IMF_7,IMF_8,IMF_9,IMF_10,IMF_11,IMF_12,IMF_13
2019-04-26 23:00:00,153.99416666666667,-182.99456221398142,-198.5230289513064,-51.46716896470369,586.9789267966582,-69.67296697573576,44.482322144038086,-127.21595527866161,-23.78324484588299,63.30041200776719,18.696297359865834,-0.9285163447319962,20.864707271622606,242.87148876286443
2019-04-27 00:00:00,150.20816666666667,14.458328385735115,7.2000075469222296,-255.69368243340293,384.2435131674123,-91.0733324805473,35.0195914535197,-129.26643243174442,-22.7669713847161,63.04385119032938,18.685226777351787,-0.9095717367697163,20.875495810889007,242.868821238131
2019-04-27 01:00:00,151.7115,-42.631989050685306,51.245320605916035,-208.12554221651664,351.2237106612859,-104.66092410598179,26.02044635975973,-131.182272467826,-21.751041678452413,62.78059457435366,18.67319624555803,-0.8906414961307303,20.8862812551205,242.8661536902918
2019-04-27 02:00:00,138.97166666666666,58.14725876560735,8.71302793764825,72.11137996341107,351.2237106612859,-108.28992050510956,17.61899782578623,-132.96310076764786,-20.73590966737953,62.51071592002236,18.6602106177817,-0.8717257391114841,20.897063603536612,242.86348611944868
2019-04-27 03:00:00,152.10183333333333,2.587594209514418,24.047396170893933,-190.3231823576935,315.7900253106185,-101.23081313440909,9.927517852512977,-134.60854271195248,-19.722029291784825,62.234288987517786,18.646274747319374,-0.8528245820084812,20.907842855357323,242.86081852570334
2019-04-27 04:00:00,149.47733333333332,0.47204179267403634,-3.039006044698356,152.04429758535764,315.7900253106185,-85.6366607670812,2.961882563789864,-136.11822368148148,-18.709854491955742,61.951387537021915,18.631393487468266,-0.8339381411185061,20.91861900980229,242.8581509091578
2019-04-27 05:00:00,138.9055,-8.329867251186034,23.814316449601797,123.42105080158423,4.326176210638268,-64.3010365004404,-3.3200309930601435,-137.4917690569768,-17.699839208180208,61.66208532871734,18.615571691525233,-0.8150665327378364,20.929392066091005,242.85548326991383
2019-04-27 06:00:00,99.56616666666667,-20.125039365410544,119.69120603207722,123.42105080158423,-14.190668930538052,-40.008473403198195,-8.969385799317386,-138.72880421918015,-16.692437380745176,61.366456122785834,18.598814212787083,-0.796209873163255,20.94016202344349,242.85281560807337
2019-04-27 07:00:00,105.85483333333332,-18.048726270711363,123.90355960404469,-8.549333523283494,-24.87315010632122,-15.584242197126542,-14.037344836261632,-139.82895454883393,-15.688102949938363,61.06457367941004,18.581125904550845,-0.7773682786910392,20.95092888107911,242.85014792373823
2019-04-27 08:00:00,167.05749999999998,32.81721389617516,-46.260679560733934,180.50096566455875,-26.875358014182694,6.319769666812881,-18.575071085172972,-140.79184542667969,-14.68728985604724,60.75651175877179,18.562511620113384,-0.7585418656180307,20.961692638217848,242.8474802170104
