y_true_step_1,y_predict_step_1
338.9263333333334,259.7792
308.59150000000005,279.96793
281.15400000000005,247.98677
244.28883333333332,201.92125
205.98783333333333,170.2699
171.203,154.0419
152.7841666666667,131.53438
151.42300000000003,131.03355
146.478,125.10903
143.93666666666667,126.74057
131.27583333333334,120.42064
145.01383333333334,134.71199
191.4175,128.37256
166.0715,134.44453
322.72883333333334,247.45903
640.6046666666666,617.078
600.6975,596.009
575.3895,579.2148
450.3675,473.91843
245.13516666666663,223.72481
602.8653333333333,608.90436
535.9043333333333,594.84314
521.7191666666666,571.58014
402.7246666666667,429.22482
255.91783333333333,249.41113
263.9955,268.9563
253.70066666666668,242.33798
212.79166666666663,192.92683
118.02783333333332,151.71361
107.68683333333334,135.34468
104.59483333333334,120.56504
104.5095,117.361435
103.1425,114.65763
104.33416666666668,115.905136
99.42366666666666,110.79895
112.01966666666668,130.44284
106.397,124.968704
140.25750000000002,127.16133
333.98583333333335,264.8379
619.3520000000001,596.6844
576.2416666666667,575.32007
519.9116666666666,547.27655
436.473,423.41992
249.14333333333332,222.9956
617.0126666666667,585.47675
590.2391666666666,547.2304
588.0065,534.15015
418.029,420.32687
299.4471666666667,249.61835
318.152,268.42917
314.5625,237.85057
193.48783333333333,197.21547
157.13683333333336,157.937
154.718,144.826
129.76683333333332,124.384
125.621,122.44366
123.80166666666668,121.810974
123.02466666666668,121.49825
121.87433333333334,116.79822
141.11499999999998,134.26233
172.9465,126.330536
170.96383333333333,128.88766
301.4796666666667,282.63712
595.4408333333333,622.033
564.2011666666666,572.5234
544.4668333333334,539.00085
458.5183333333333,451.4476
240.62466666666663,226.64615
609.3113333333333,618.6339
570.0618333333333,574.3397
550.1823333333334,543.72266
400.1986666666666,425.8962
239.5195,250.99342
313.4045,273.8289
283.37250000000006,243.07584
235.67566666666667,196.9229
218.478,157.66116
150.21416666666667,143.51263
145.2955,122.62887
146.72183333333334,127.49549
146.34266666666664,125.869255
147.2095,127.90817
147.142,121.321396
162.60399999999998,134.51889
185.63833333333332,125.6846
203.9375,119.459915
376.3426666666667,238.56654
667.5741666666667,552.67474
619.2185000000001,508.88956
632.3495,493.0426
474.03133333333335,399.4424
276.1905,214.30156
680.2966666666667,587.8681
593.8108333333333,537.49396
571.633,523.33636
460.2526666666666,434.6384
317.9505,248.54774
332.5585,276.366
330.8373333333333,250.5706
217.03066666666663,200.8686
173.20783333333335,162.85612
154.447,147.57144
134.015,128.70488
134.76966666666667,121.032425
134.711,122.05536
134.3375,116.72911
135.61316666666667,112.99482
144.54183333333333,136.99527
145.04166666666666,114.587326
124.655,109.298904
154.1715,162.44414
217.29416666666663,148.41037
210.94166666666663,186.14
244.645,161.93034
269.9195,160.05022
218.27383333333333,153.17415
257.436,180.53148
261.21733333333333,174.30122
257.35066666666665,172.96289
229.9615,153.57838
165.89683333333332,142.0273
168.524,169.54503
164.6316666666667,173.0295
167.02933333333334,175.76984
141.487,139.94557
138.6663333333333,135.10056
123.8315,126.94903
123.54066666666668,126.428345
123.2465,131.0124
123.30666666666669,131.445
122.91083333333334,127.36571
132.14216666666667,134.7909
131.3465,120.979996
113.91483333333332,94.674484
139.44116666666665,94.3931
173.19566666666665,108.44348
226.6481666666667,118.070816
225.84633333333332,130.97235
213.513,140.66505
201.19433333333333,130.9443
232.7638333333333,144.9347
221.80633333333336,143.4968
207.38950000000003,140.4422
172.13433333333333,140.73497
131.48950000000002,145.59444
168.60866666666666,169.79633
174.75533333333337,177.65001
177.3156666666667,182.57103
147.75233333333333,148.13087
142.94283333333334,137.91252
122.46833333333332,137.4074
122.80683333333332,115.852646
122.7025,126.725685
122.23283333333332,121.17705
121.30516666666668,110.32166
138.89333333333337,131.45197
147.89150000000004,116.51142
178.09416666666667,125.89908
333.10900000000004,232.82645
773.9558333333333,670.14984
723.5288333333334,622.3382
658.0740000000001,616.39264
507.8565,504.955
245.4833333333333,239.133
702.6601666666667,634.3018
615.3996666666666,592.988
605.6596666666667,579.6439
556.925,484.89365
352.9848333333333,263.4908
360.356,281.35226
303.72883333333334,252.51254
265.5195,200.96538
222.3165,172.61305
182.203,155.51816
160.23233333333334,133.8243
158.99066666666667,134.98235
159.76983333333334,131.45161
164.66416666666666,133.47536
164.2945,127.33926
183.6881666666667,141.77588
186.6535,136.84062
173.39883333333333,142.01434
342.66116666666665,254.37022
673.0143333333333,644.0771
634.5638333333334,633.44836
594.4033333333333,610.9137
466.914,495.5567
265.66066666666666,238.83403
675.2906666666667,630.06256
610.056,608.9101
602.7998333333333,589.37213
475.5501666666667,450.9628
300.2296666666667,257.72348
361.8051666666667,282.09207
370.8956666666666,257.0299
251.91516666666664,207.67503
181.87116666666668,165.69965
136.75566666666666,148.79857
125.47983333333332,131.86919
125.61416666666668,127.586174
126.41483333333332,123.983215
126.64733333333334,125.50562
127.46516666666668,120.60799
145.12383333333335,142.25972
151.09550000000002,134.1155
184.1515,136.59052
315.1615,259.0876
654.596,625.60614
575.9623333333333,576.3839
562.8076666666667,564.08856
466.872,450.47516
268.8428333333333,234.25525
634.7104999999999,626.6474
558.571,580.7227
566.1171666666667,560.259
